08:27:30 > [         09129904949] [0 62]
08:27:59 > [         09129904950] [0 62]
08:29:47 > [         09129904960] [0 61]
08:30:03 > [         09129904961] [0 61]
09:06:59 > [         09129904951] [0 62]
09:07:29 > [         09129904952] [0 62]
09:10:02 > [         09129904962] [0 61]
09:10:33 > [         09129904963] [0 61]
09:11:59 > [         09129904958] [0 62]
09:12:14 > [         09129904959] [0 62]
09:16:59 > [         09129904953] [0 62]
09:17:14 > [         09129904954] [0 62]
09:46:14 > [         09129904955] [0 62]
09:46:29 > [         09129904957] [0 62]
09:46:44 > [         09129904956] [0 62]
09:47:14 > [         09122600297] [0 62]
09:53:14 > [         09122402586] [0 62]
09:53:29 > [         09122402613] [0 62]
10:06:14 > [         09122801760] [0 62]
10:07:59 > [         09122402532] [0 62]
10:08:14 > [         09122402533] [0 62]
10:08:30 > [         09122500221] [0 62]
10:08:44 > [         09122800111] [0 62]
10:08:59 > [         09122700326] [0 62]
10:09:14 > [         09122402534] [0 62]
10:09:30 > [         09122800094] [0 62]
10:40:14 > [         09122700327] [0 62]
10:40:48 > [         09122700498] [0 61]
10:40:59 > [         09122800826] [0 62]
10:41:02 > [         09122700549] [0 61]
10:41:33 > [         09122800808] [0 61]
10:42:15 > [         09122800852] [0 62]
10:42:29 > [         09122800842] [0 62]
10:42:47 > [         09122800461] [0 61]
10:42:59 > [         09122801022] [0 62]
10:43:03 > [         09122800355] [0 61]
10:43:33 > [         09122800401] [0 61]
10:45:32 > [         09122801161] [0 61]
10:46:14 > [         09122801361] [0 62]
10:46:29 > [         09122801864] [0 62]
10:46:59 > [         09122700525] [0 62]
10:47:29 > [         09122800681] [0 62]
10:54:37 > [         09122802048] [0 61]
11:02:29 > [         09122600617] [0 62]
11:02:44 > [         09122801222] [0 62]
11:03:29 > [         09122802176] [0 62]
11:03:59 > [         09122802197] [0 62]
11:13:02 > [         09122801492] [0 61]
11:14:59 > [         09122700412] [0 62]
11:15:14 > [         09122700413] [0 62]
11:15:29 > [         09122700328] [0 62]
11:20:17 > [         09122700498] [0 61]
11:21:02 > [         09122700512] [0 61]
11:22:16 > [         09122800461] [0 61]
11:22:29 > [         09122800198] [0 62]
11:22:44 > [         09122801072] [0 62]
11:23:01 > [         09122800401] [0 61]
11:23:14 > [         09122800510] [0 62]
11:23:30 > [         09122801260] [0 62]
11:23:32 > [         09122800520] [0 61]
11:23:44 > [         09122800204] [0 62]
11:23:47 > [         09122801034] [0 61]
11:23:59 > [         09122800942] [0 62]
11:24:05 > [         09122800508] [0 61]
11:24:14 > [         09122800218] [0 62]
11:24:17 > [         09122801465] [0 61]
11:24:30 > [         09122801711] [0 62]
11:24:32 > [         09122800231] [0 61]
11:24:44 > [         09122800226] [0 62]
11:24:47 > [         09122801474] [0 61]
11:24:59 > [         09122801247] [0 62]
11:25:03 > [         09122800209] [0 61]
11:25:14 > [         09122800184] [0 62]
11:25:16 > [         09122801056] [0 61]
11:25:44 > [         09122801361] [0 62]
11:25:48 > [         09122801814] [0 61]
11:26:29 > [         09122700525] [0 62]
11:26:59 > [         09122800681] [0 62]
11:27:29 > [         09122800976] [0 62]
11:27:59 > [         09122801302] [0 62]
11:28:02 > [         09122801667] [0 61]
11:28:29 > [         09122800996] [0 62]
11:28:33 > [         09122801569] [0 61]
11:28:59 > [         09122801658] [0 62]
11:29:03 > [         09122800918] [0 61]
11:29:29 > [         09122800885] [0 62]
11:29:59 > [         09122801559] [0 62]
11:30:18 > [         09122801743] [0 61]
11:30:29 > [         09122801088] [0 62]
11:30:59 > [         09122801172] [0 62]
11:31:29 > [         09122801614] [0 62]
11:31:59 > [         09122800909] [0 62]
11:32:29 > [         09122801200] [0 62]
11:32:59 > [         09122801186] [0 62]
11:33:43 > [         09122700414] [0 62]
11:34:34 > [         09122800928] [0 61]
11:35:18 > [         09122801506] [0 61]
11:35:48 > [         09122801852] [0 61]
11:41:35 > [         09122802416] [0 61]
11:41:59 > [         09122801222] [0 62]
11:43:29 > [         09122802197] [0 62]
12:02:14 > [         09122801072] [0 62]
12:02:44 > [         09122801260] [0 62]
12:03:01 > [         09122801034] [0 61]
12:03:28 > [         09122800942] [0 62]
12:03:46 > [         09122801465] [0 61]
12:03:59 > [         09122801711] [0 62]
12:04:17 > [         09122801474] [0 61]
12:04:29 > [         09122801247] [0 62]
12:04:46 > [         09122801056] [0 61]
12:05:16 > [         09122801814] [0 61]
12:06:44 > [         09122800976] [0 62]
12:07:29 > [         09122801302] [0 62]
12:07:31 > [         09122801667] [0 61]
12:07:59 > [         09122800996] [0 62]
12:08:01 > [         09122801569] [0 61]
12:08:14 > [         09122802582] [0 62]
12:08:29 > [         09122801658] [0 62]
12:08:32 > [         09122800918] [0 61]
12:08:59 > [         09122800885] [0 62]
12:09:29 > [         09122801559] [0 62]
12:09:48 > [         09122801743] [0 61]
12:09:59 > [         09122801088] [0 62]
12:10:28 > [         09122801172] [0 62]
12:10:58 > [         09122801614] [0 62]
12:11:28 > [         09122800909] [0 62]
12:11:58 > [         09122801200] [0 62]
12:12:28 > [         09122801186] [0 62]
12:13:48 > [         09122800928] [0 61]
12:14:32 > [         09122801506] [0 61]
12:15:18 > [         09122801852] [0 61]
12:21:03 > [         09122802416] [0 61]
12:55:59 > [         09122802818] [0 62]
12:56:28 > [         09122802237] [0 62]
12:56:59 > [         09122802253] [0 62]
13:05:03 > [         09122802516] [0 61]
13:05:31 > [         09122802514] [0 61]
13:11:59 > [         09122802933] [0 62]
13:14:28 > [         09122802966] [0 62]
13:20:03 > [         09122803006] [0 61]
13:30:43 > [         09122803039] [0 62]
13:35:28 > [         09122802818] [0 62]
13:35:58 > [         09122802237] [0 62]
13:36:28 > [         09122802253] [0 62]
13:39:16 > [         09122803167] [0 61]
13:44:32 > [         09122802516] [0 61]
13:45:02 > [         09122802514] [0 61]
13:50:58 > [         09122803060] [0 62]
13:54:13 > [         09122802933] [0 62]
13:59:32 > [         09122803006] [0 61]
14:10:13 > [         09122803039] [0 62]
14:10:18 > [         09122803327] [0 61]
14:18:47 > [         09122803167] [0 61]
14:33:58 > [         09122803427] [0 62]
14:49:47 > [         09122803327] [0 61]
15:09:13 > [         09122803426] [0 62]
15:12:59 > [         09122800525] [0 62]
15:13:28 > [         09122803427] [0 62]
15:13:59 > [         09122803594] [0 62]
15:14:13 > [         09122803620] [0 62]
15:14:43 > [         09122803628] [0 62]
15:21:28 > [         09122803199] [0 62]
15:21:44 > [         09122803155] [0 62]
15:21:58 > [         09122803239] [0 62]
15:22:28 > [         09122803520] [0 62]
15:23:13 > [         09122803320] [0 62]
15:23:28 > [         09122803697] [0 62]
15:53:28 > [         09122803594] [0 62]
15:54:13 > [         09122803628] [0 62]
16:02:43 > [         09122803697] [0 62]
