08:18:14 > [         10019904672] [0 62]
08:18:16 > [         10019904676] [0 61]
08:18:31 > [         10019904677] [0 61]
08:18:44 > [         10019904673] [0 62]
08:24:30 > [         10019904682] [0 61]
08:24:46 > [         10019904683] [0 61]
08:50:46 > [         10019904680] [0 61]
08:51:01 > [         10019904681] [0 61]
08:57:43 > [         10019904674] [0 62]
08:58:14 > [         10019904675] [0 62]
09:14:31 > [         10012600672] [0 61]
09:19:17 > [         10012503773] [0 61]
09:19:30 > [         10012503775] [0 61]
09:19:47 > [         10012600586] [0 61]
09:29:29 > [         10012503552] [0 62]
09:30:29 > [         10012503567] [0 62]
09:30:44 > [         10012503611] [0 62]
09:31:14 > [         10012503691] [0 62]
09:31:44 > [         10012503767] [0 62]
09:32:44 > [         10012503782] [0 62]
09:32:59 > [         10012503892] [0 62]
09:33:44 > [         10012504136] [0 62]
09:34:13 > [         10012503852] [0 62]
09:34:44 > [         10012600551] [0 62]
09:35:00 > [         10012600558] [0 62]
09:35:14 > [         10012600570] [0 62]
09:35:59 > [         10012600417] [0 62]
09:36:44 > [         10012600248] [0 62]
09:37:14 > [         10012600367] [0 62]
09:38:14 > [         10012600427] [0 62]
09:38:59 > [         10012600125] [0 62]
09:39:44 > [         10012600270] [0 62]
09:40:29 > [         10012600604] [0 62]
09:41:28 > [         10012503922] [0 62]
09:42:14 > [         10012503932] [0 62]
09:43:44 > [         10012502966] [0 62]
09:43:59 > [         10012600666] [0 62]
09:44:28 > [         10012600738] [0 62]
09:44:43 > [         10012600815] [0 62]
09:45:14 > [         10012503470] [0 62]
09:45:44 > [         10012600407] [0 62]
09:46:14 > [         10012503180] [0 62]
09:46:58 > [         10012600351] [0 62]
09:48:44 > [         10012503685] [0 62]
09:49:14 > [         10012503679] [0 62]
09:51:13 > [         10012601188] [0 62]
09:51:58 > [         10012601171] [0 62]
10:08:59 > [         10012503552] [0 62]
10:09:00 > [         10012601302] [0 61]
10:09:17 > [         10012601276] [0 61]
10:09:28 > [         10012503546] [0 62]
10:09:59 > [         10012503567] [0 62]
10:10:43 > [         10012503691] [0 62]
10:11:13 > [         10012503892] [0 62]
10:11:43 > [         10012503782] [0 62]
10:12:14 > [         10012504136] [0 62]
10:12:58 > [         10012503852] [0 62]
10:15:13 > [         10012600417] [0 62]
10:15:58 > [         10012600248] [0 62]
10:16:44 > [         10012600367] [0 62]
10:17:13 > [         10012600427] [0 62]
10:17:58 > [         10012601384] [0 62]
10:18:13 > [         10012600125] [0 62]
10:18:58 > [         10012600270] [0 62]
10:20:28 > [         10012503922] [0 62]
10:21:28 > [         10012503932] [0 62]
10:22:13 > [         10012504071] [0 62]
10:22:43 > [         10012502966] [0 62]
10:25:13 > [         10012600407] [0 62]
10:25:43 > [         10012503180] [0 62]
10:27:16 > [         10012601424] [0 61]
10:27:31 > [         10012601381] [0 61]
10:28:14 > [         10012503685] [0 62]
10:49:28 > [         10012601610] [0 62]
10:49:59 > [         10012601561] [0 62]
10:55:28 > [         10012601076] [0 62]
10:55:58 > [         10012600855] [0 62]
10:56:28 > [         10012601094] [0 62]
10:56:58 > [         10012600868] [0 62]
10:57:28 > [         10012601384] [0 62]
10:57:44 > [         10012601110] [0 62]
10:58:13 > [         10012601600] [0 62]
10:58:28 > [         10012600983] [0 62]
10:58:58 > [         10012601041] [0 62]
10:59:29 > [         10012601443] [0 62]
10:59:58 > [         10012600822] [0 62]
11:01:29 > [         10012600931] [0 62]
11:01:59 > [         10012601203] [0 62]
11:02:58 > [         10012600265] [0 62]
11:03:28 > [         10012601651] [0 62]
11:03:44 > [         10012601659] [0 62]
11:04:29 > [         10012601469] [0 62]
11:04:59 > [         10012600842] [0 62]
11:05:28 > [         10012601267] [0 62]
11:05:59 > [         10012600957] [0 62]
11:06:59 > [         10012601345] [0 62]
11:07:28 > [         10012600782] [0 62]
11:07:58 > [         10012600971] [0 62]
11:08:29 > [         10012600792] [0 62]
11:09:14 > [         10012600627] [0 62]
11:09:58 > [         10012600898] [0 62]
11:10:28 > [         10012600637] [0 62]
11:10:58 > [         10012600920] [0 62]
11:11:28 > [         10012601130] [0 62]
11:12:13 > [         10012600751] [0 62]
11:12:58 > [         10012601141] [0 62]
11:13:29 > [         10012601692] [0 62]
11:17:58 > [         10012601734] [0 62]
11:24:16 > [         10012601820] [0 61]
11:24:30 > [         10012601779] [0 61]
11:28:59 > [         10012601610] [0 62]
11:29:28 > [         10012601561] [0 62]
11:33:13 > [         10012601853] [0 62]
11:34:58 > [         10012601076] [0 62]
11:35:28 > [         10012600855] [0 62]
11:35:58 > [         10012601094] [0 62]
11:36:28 > [         10012600868] [0 62]
11:36:58 > [         10012601110] [0 62]
11:37:43 > [         10012600983] [0 62]
11:38:28 > [         10012601041] [0 62]
11:38:58 > [         10012601443] [0 62]
11:39:28 > [         10012600822] [0 62]
11:39:58 > [         10012600931] [0 62]
11:41:14 > [         10012601920] [0 62]
11:41:29 > [         10012601203] [0 62]
11:41:43 > [         10012601945] [0 62]
11:42:28 > [         10012600265] [0 62]
11:42:58 > [         10012600842] [0 62]
11:43:43 > [         10012601469] [0 62]
11:44:29 > [         10012601267] [0 62]
11:45:28 > [         10012600957] [0 62]
11:45:58 > [         10012601345] [0 62]
11:46:58 > [         10012600782] [0 62]
11:47:28 > [         10012600971] [0 62]
11:47:58 > [         10012600792] [0 62]
11:48:28 > [         10012600627] [0 62]
11:49:13 > [         10012600898] [0 62]
11:49:58 > [         10012600637] [0 62]
11:50:16 > [         10012601843] [0 61]
11:50:28 > [         10012600920] [0 62]
11:50:58 > [         10012601130] [0 62]
11:51:28 > [         10012600751] [0 62]
11:51:43 > [         10012602021] [0 62]
11:52:13 > [         10012601141] [0 62]
11:52:44 > [         10012602006] [0 62]
11:52:58 > [         10012601692] [0 62]
11:57:28 > [         10012601734] [0 62]
11:58:28 > [         10012602035] [0 62]
12:10:15 > [         10012601990] [0 61]
12:12:44 > [         10012601853] [0 62]
12:18:58 > [         10012602138] [0 62]
12:21:13 > [         10012601945] [0 62]
12:21:28 > [         10012602154] [0 62]
12:29:13 > [         10012602172] [0 62]
12:31:13 > [         10012602021] [0 62]
12:31:43 > [         10012602006] [0 62]
12:48:28 > [         10012602070] [0 62]
12:50:58 > [         10012602296] [0 62]
13:00:43 > [         10012602154] [0 62]
13:08:58 > [         10012602351] [0 62]
13:13:43 > [         10012602425] [0 62]
13:14:13 > [         10012602407] [0 62]
13:16:47 > [         10012602322] [0 61]
13:30:28 > [         10012602296] [0 62]
13:48:13 > [         10012602584] [0 62]
13:48:28 > [         10012602351] [0 62]
13:49:43 > [         10012601990] [0 62]
13:53:13 > [         10012602425] [0 62]
13:53:43 > [         10012602407] [0 62]
14:55:13 > [         10012602780] [0 62]
14:58:27 > [         10012602664] [0 62]
15:05:42 > [         10012602760] [0 62]
15:23:12 > [         10012602870] [0 62]
15:26:57 > [         10012602879] [0 62]
15:34:43 > [         10012602780] [0 62]
15:45:12 > [         10012602760] [0 62]
16:02:43 > [         10012602870] [0 62]
16:04:58 > [         10012602962] [0 62]
16:06:27 > [         10012602879] [0 62]
