08:21:21 > [         09129900024] [0 61]
08:21:23 > [         09129900020] [0 62]
08:21:37 > [         09129900025] [0 61]
08:21:52 > [         09129900021] [0 62]
08:38:33 > [         09129900028] [0 61]
08:38:48 > [         09129900029] [0 61]
08:41:33 > [         09129900030] [0 61]
08:42:03 > [         09129900031] [0 61]
09:00:52 > [         09129900022] [0 62]
09:01:22 > [         09129900023] [0 62]
09:01:33 > [         09129900026] [0 61]
09:02:03 > [         09129900027] [0 61]
09:41:03 > [         09113003191] [0 61]
09:41:18 > [         09120100576] [0 61]
09:41:38 > [         09120100268] [0 61]
09:41:47 > [         09113003738] [0 61]
09:56:17 > [         09113003527] [0 61]
09:56:33 > [         09113003555] [0 61]
09:57:33 > [         09113003567] [0 61]
09:58:02 > [         09113003392] [0 61]
09:58:33 > [         09113003614] [0 61]
09:58:48 > [         09113003729] [0 61]
09:59:33 > [         09113003785] [0 61]
10:00:03 > [         09113003799] [0 61]
10:00:33 > [         09113003855] [0 61]
10:01:04 > [         09113003481] [0 61]
10:01:48 > [         09113003842] [0 61]
10:02:03 > [         09113003861] [0 61]
10:02:33 > [         09113004110] [0 61]
10:03:04 > [         09120100529] [0 61]
10:03:33 > [         09120100552] [0 61]
10:04:03 > [         09120100234] [0 61]
10:05:03 > [         09120100204] [0 61]
10:05:33 > [         09120100165] [0 61]
10:06:03 > [         09120100389] [0 61]
10:06:34 > [         09120100604] [0 61]
10:07:02 > [         09120100581] [0 61]
10:07:19 > [         09120100596] [0 61]
10:07:33 > [         09120100616] [0 61]
10:08:04 > [         09120100588] [0 61]
10:08:32 > [         09120100602] [0 61]
10:09:03 > [         09113003625] [0 61]
10:09:33 > [         09120100634] [0 61]
10:10:33 > [         09120100628] [0 61]
10:11:04 > [         09120100653] [0 61]
10:11:34 > [         09120100668] [0 61]
10:12:03 > [         09120100710] [0 61]
10:12:33 > [         09120100851] [0 61]
10:12:48 > [         09120100837] [0 61]
10:13:33 > [         09120101027] [0 61]
10:14:03 > [         09120100366] [0 61]
10:14:33 > [         09120100406] [0 61]
10:15:03 > [         09113003602] [0 61]
10:15:48 > [         09113004041] [0 61]
10:16:04 > [         09120101565] [0 61]
10:16:33 > [         09120101541] [0 61]
10:18:48 > [         09120101509] [0 61]
10:19:03 > [         09120101522] [0 61]
10:20:03 > [         09120101442] [0 61]
10:26:49 > [         09120101709] [0 61]
10:28:33 > [         09120101613] [0 61]
10:36:33 > [         09113003490] [0 61]
10:37:05 > [         09113003567] [0 61]
10:37:36 > [         09113003392] [0 61]
10:38:02 > [         09113003614] [0 61]
10:38:47 > [         09113003785] [0 61]
10:39:32 > [         09113003799] [0 61]
10:40:02 > [         09113003855] [0 61]
10:40:32 > [         09113003481] [0 61]
10:42:03 > [         09113003746] [0 61]
10:43:33 > [         09120100234] [0 61]
10:44:03 > [         09120100204] [0 61]
10:45:03 > [         09120100165] [0 61]
10:45:33 > [         09120100389] [0 61]
10:48:33 > [         09113003625] [0 61]
10:49:03 > [         09120100634] [0 61]
10:49:18 > [         09120101826] [0 61]
10:49:33 > [         09120101843] [0 61]
10:50:03 > [         09120101820] [0 61]
10:52:48 > [         09120101027] [0 61]
10:53:33 > [         09120100366] [0 61]
10:54:03 > [         09120100406] [0 61]
10:54:35 > [         09113003602] [0 61]
10:55:02 > [         09113004041] [0 61]
10:59:32 > [         09120101442] [0 61]
11:07:02 > [         09120101769] [0 61]
11:08:02 > [         09120101613] [0 61]
11:16:02 > [         09120100977] [0 61]
11:16:32 > [         09120100995] [0 61]
11:16:52 > [         09120100491] [0 62]
11:17:02 > [         09120100768] [0 61]
11:17:22 > [         09120100520] [0 62]
11:17:34 > [         09120100950] [0 61]
11:17:52 > [         09120100687] [0 62]
11:19:52 > [         09120100738] [0 62]
11:20:22 > [         09120100675] [0 62]
11:20:52 > [         09120100940] [0 62]
11:21:20 > [         09120101052] [0 61]
11:21:48 > [         09120101433] [0 61]
11:22:18 > [         09120101210] [0 61]
11:22:22 > [         09120100968] [0 62]
11:22:48 > [         09120101179] [0 61]
11:23:18 > [         09120101095] [0 61]
11:23:22 > [         09120101297] [0 62]
11:23:48 > [         09120100884] [0 61]
11:23:52 > [         09120101555] [0 62]
11:24:18 > [         09120100872] [0 61]
11:24:22 > [         09120101079] [0 62]
11:29:32 > [         09120101820] [0 61]
11:30:52 > [         09120102094] [0 62]
11:31:22 > [         09120100788] [0 62]
11:32:52 > [         09120101085] [0 62]
11:39:32 > [         09120101147] [0 61]
11:40:04 > [         09120100511] [0 61]
11:40:33 > [         09120100862] [0 61]
11:55:33 > [         09120100977] [0 61]
11:56:03 > [         09120100995] [0 61]
11:56:22 > [         09120100491] [0 62]
11:56:33 > [         09120100768] [0 61]
11:56:52 > [         09120100520] [0 62]
11:57:03 > [         09120100950] [0 61]
11:58:52 > [         09120100687] [0 62]
11:59:22 > [         09120100738] [0 62]
11:59:52 > [         09120100675] [0 62]
12:00:22 > [         09120100940] [0 62]
12:00:48 > [         09120101052] [0 61]
12:00:52 > [         09120100968] [0 62]
12:01:18 > [         09120101433] [0 61]
12:01:48 > [         09120101210] [0 61]
12:02:18 > [         09120101179] [0 61]
12:02:37 > [         09120101297] [0 62]
12:02:48 > [         09120101095] [0 61]
12:03:18 > [         09120100884] [0 61]
12:03:22 > [         09120101555] [0 62]
12:03:37 > [         09120102183] [0 62]
12:03:48 > [         09120100872] [0 61]
12:03:51 > [         09120101079] [0 62]
12:11:07 > [         09120102296] [0 62]
12:11:37 > [         09120102243] [0 62]
12:16:21 > [         09120102114] [0 62]
12:16:51 > [         09120102411] [0 62]
12:19:03 > [         09120101147] [0 61]
12:19:33 > [         09120100511] [0 61]
12:20:03 > [         09120100862] [0 61]
12:21:22 > [         09120102432] [0 62]
12:41:48 > [         09120102499] [0 61]
12:47:05 > [         09120101937] [0 61]
12:47:17 > [         09120102544] [0 61]
12:47:48 > [         09120102524] [0 61]
12:50:37 > [         09120102296] [0 62]
12:51:07 > [         09120102243] [0 62]
12:55:51 > [         09120102114] [0 62]
12:56:22 > [         09120102411] [0 62]
12:57:02 > [         09120102644] [0 61]
12:57:17 > [         09120102644] [0 61]
12:58:04 > [         09120102645] [0 61]
13:00:51 > [         09120102432] [0 62]
13:04:32 > [         09120102468] [0 61]
13:11:18 > [         09120102731] [0 61]
13:11:48 > [         09120102698] [0 61]
13:21:18 > [         09120102499] [0 61]
13:26:32 > [         09120101937] [0 61]
13:27:18 > [         09120102524] [0 61]
13:35:18 > [         09120102842] [0 61]
13:37:33 > [         09120102645] [0 61]
13:41:18 > [         09120102898] [0 61]
13:41:48 > [         09120102876] [0 61]
13:42:17 > [         09120102920] [0 61]
13:42:48 > [         09120102510] [0 61]
13:50:03 > [         09120102940] [0 61]
13:50:48 > [         09120102731] [0 61]
13:51:19 > [         09120102698] [0 61]
14:14:49 > [         09120102842] [0 61]
14:20:46 > [         09120102898] [0 61]
14:21:16 > [         09120102876] [0 61]
14:21:46 > [         09120102920] [0 61]
14:22:16 > [         09120102510] [0 61]
14:45:32 > [         09120103221] [0 61]
14:56:47 > [         09120103187] [0 61]
14:57:18 > [         09120103188] [0 61]
15:00:18 > [         09120103351] [0 61]
15:17:03 > [         09120102968] [0 61]
15:17:18 > [         09120102885] [0 61]
15:21:02 > [         09120103409] [0 61]
15:27:03 > [         09113004095] [0 61]
15:29:02 > [         09120103431] [0 61]
15:36:47 > [         09120103188] [0 61]
15:37:02 > [         09120103258] [0 61]
15:39:34 > [         09120103351] [0 61]
15:57:47 > [         09120103422] [0 61]
16:00:32 > [         09120103409] [0 61]
16:08:32 > [         09120103431] [0 61]
16:16:31 > [         09120103258] [0 61]
