07:14:26 > [         10019903940] [0 61]
07:14:42 > [         10019903941] [0 61]
07:15:47 > [         10019903936] [0 62]
07:16:17 > [         10019903937] [0 62]
07:54:42 > [         10019903942] [0 61]
07:55:12 > [         10019903943] [0 61]
07:55:17 > [         10019903938] [0 62]
07:55:48 > [         10019903939] [0 62]
08:01:27 > [         10019903946] [0 61]
08:01:41 > [         10019903947] [0 61]
09:03:33 > [         10012003257] [0 62]
09:04:02 > [         10012003104] [0 62]
09:04:12 > [         10012100759] [0 61]
09:04:28 > [         10012100799] [0 61]
09:04:33 > [         10012003782] [0 62]
09:04:43 > [         10012100781] [0 61]
09:05:02 > [         10012003607] [0 62]
09:05:13 > [         10012100134] [0 61]
09:05:41 > [         10012100181] [0 61]
09:06:02 > [         10012003176] [0 62]
09:06:32 > [         10012003273] [0 62]
09:07:02 > [         10012003326] [0 62]
09:07:32 > [         10012003321] [0 62]
09:08:02 > [         10012003391] [0 62]
09:08:12 > [         10012100070] [0 61]
09:08:32 > [         10012003425] [0 62]
09:08:44 > [         10012100766] [0 61]
09:08:57 > [         10012100832] [0 61]
09:09:14 > [         10012100840] [0 61]
09:09:27 > [         10012100860] [0 61]
09:09:32 > [         10012003578] [0 62]
09:09:42 > [         10012100877] [0 61]
09:09:58 > [         10012100959] [0 61]
09:10:12 > [         10012100948] [0 61]
09:13:27 > [         10012003399] [0 61]
09:13:59 > [         10012003404] [0 61]
09:14:12 > [         10012003361] [0 61]
09:14:27 > [         10012100972] [0 61]
09:14:42 > [         10012101087] [0 61]
09:14:56 > [         10012101152] [0 61]
09:18:11 > [         10012003297] [0 61]
09:18:42 > [         10012003439] [0 61]
09:19:43 > [         10012100192] [0 61]
09:19:59 > [         10019903944] [0 61]
09:20:12 > [         10019903945] [0 61]
09:21:17 > [         10012101188] [0 62]
09:21:32 > [         10012101290] [0 62]
09:41:47 > [         10012003257] [0 62]
09:41:58 > [         10012003759] [0 61]
09:42:26 > [         10012003216] [0 61]
09:43:32 > [         10012003104] [0 62]
09:44:02 > [         10012003782] [0 62]
09:44:32 > [         10012003607] [0 62]
09:44:42 > [         10012100134] [0 61]
09:45:02 > [         10012003881] [0 62]
09:45:11 > [         10012100181] [0 61]
09:45:32 > [         10012003176] [0 62]
09:45:43 > [         10012100269] [0 61]
09:46:11 > [         10012100215] [0 61]
09:46:32 > [         10012003326] [0 62]
09:46:42 > [         10012003355] [0 61]
09:47:02 > [         10012003321] [0 62]
09:47:12 > [         10012003527] [0 61]
09:47:42 > [         10012100070] [0 61]
09:48:02 > [         10012003425] [0 62]
09:48:32 > [         10012003484] [0 62]
09:49:02 > [         10012003578] [0 62]
09:49:32 > [         10012003592] [0 62]
09:50:11 > [         10012003297] [0 61]
09:51:13 > [         10012003399] [0 61]
09:53:26 > [         10012003404] [0 61]
09:58:12 > [         10012003439] [0 61]
09:58:41 > [         10012003802] [0 61]
09:59:12 > [         10012100192] [0 61]
09:59:26 > [         10012101507] [0 61]
10:02:57 > [         10012101586] [0 61]
10:10:42 > [         10012101603] [0 61]
10:26:56 > [         10012003538] [0 61]
10:47:13 > [         10012101586] [0 61]
10:49:56 > [         10012101603] [0 61]
10:58:42 > [         10012101254] [0 61]
10:59:11 > [         10012100937] [0 61]
10:59:17 > [         10012101141] [0 62]
10:59:43 > [         10012101395] [0 61]
10:59:47 > [         10012101545] [0 62]
11:00:11 > [         10012101043] [0 61]
11:00:17 > [         10012100926] [0 62]
11:00:47 > [         10012101164] [0 62]
11:01:17 > [         10012100741] [0 62]
11:01:42 > [         10012101806] [0 61]
11:01:47 > [         10012101197] [0 62]
11:02:17 > [         10012101211] [0 62]
11:02:47 > [         10012101053] [0 62]
11:03:17 > [         10012101098] [0 62]
11:03:47 > [         10012101383] [0 62]
11:04:46 > [         10012101110] [0 62]
11:04:56 > [         10012101893] [0 61]
11:05:17 > [         10012101702] [0 62]
11:11:42 > [         10012101907] [0 61]
11:19:42 > [         10012101310] [0 61]
11:20:28 > [         10012100730] [0 61]
11:20:58 > [         10012101690] [0 61]
11:21:26 > [         10012100909] [0 61]
11:21:42 > [         10012101940] [0 61]
11:35:11 > [         10012101777] [0 61]
11:35:43 > [         10012101893] [0 61]
11:38:11 > [         10012101254] [0 61]
11:38:43 > [         10012100937] [0 61]
11:38:47 > [         10012101141] [0 62]
11:39:02 > [         10012102007] [0 62]
11:39:11 > [         10012101395] [0 61]
11:39:17 > [         10012101545] [0 62]
11:39:42 > [         10012101043] [0 61]
11:39:47 > [         10012100926] [0 62]
11:40:17 > [         10012101164] [0 62]
11:40:46 > [         10012100741] [0 62]
11:41:11 > [         10012101806] [0 61]
11:41:17 > [         10012101197] [0 62]
11:41:47 > [         10012101211] [0 62]
11:42:16 > [         10012101053] [0 62]
11:42:46 > [         10012101098] [0 62]
11:43:16 > [         10012101383] [0 62]
11:44:01 > [         10012101110] [0 62]
11:44:47 > [         10012101702] [0 62]
11:59:12 > [         10012101310] [0 61]
11:59:42 > [         10012100730] [0 61]
12:00:27 > [         10012101690] [0 61]
12:00:55 > [         10012100909] [0 61]
12:04:42 > [         10012101053] [0 61]
12:07:40 > [         10012102164] [0 61]
12:18:16 > [         10012102007] [0 62]
12:18:27 > [         10012102135] [0 61]
12:20:12 > [         10012102222] [0 61]
12:23:12 > [         10012102260] [0 61]
12:32:11 > [         10012102283] [0 61]
12:37:13 > [         10012102303] [0 61]
12:48:57 > [         10012102321] [0 61]
12:49:27 > [         10012102339] [0 61]
12:57:57 > [         10012102188] [0 61]
12:59:43 > [         10012102222] [0 61]
13:02:11 > [         10012102432] [0 61]
13:08:27 > [         10012102441] [0 61]
13:16:41 > [         10012102303] [0 61]
13:28:56 > [         10012102339] [0 61]
14:02:12 > [         10012102691] [0 61]
14:06:27 > [         10012102716] [0 61]
14:06:40 > [         10012102716] [0 61]
14:08:27 > [         10012102703] [0 61]
14:31:57 > [         10012102825] [0 61]
14:41:44 > [         10012102691] [0 61]
14:57:26 > [         10012102766] [0 61]
15:25:10 > [         10012102899] [0 61]
15:32:55 > [         10012102993] [0 61]
15:36:55 > [         10012102766] [0 61]
16:00:55 > [         10012103031] [0 61]
