07:27:58 > [         10019903642] [0 61]
07:28:06 > [         10019903631] [0 62]
07:28:15 > [         10019903643] [0 61]
07:28:36 > [         10019903632] [0 62]
07:35:36 > [         10019903640] [0 62]
07:35:51 > [         10019903641] [0 62]
08:07:36 > [         10019903633] [0 62]
08:08:06 > [         10019903634] [0 62]
08:08:14 > [         10019903644] [0 61]
08:08:43 > [         10019903645] [0 61]
08:32:22 > [         10019903635] [0 62]
08:32:36 > [         10019903636] [0 62]
08:32:51 > [         10019903637] [0 62]
08:33:06 > [         10019903638] [0 62]
08:33:20 > [         10019903639] [0 62]
09:07:29 > [         10011902940] [0 61]
09:08:02 > [         10011903008] [0 61]
09:08:28 > [         10011903038] [0 61]
09:09:00 > [         10011902977] [0 61]
09:09:28 > [         10011903079] [0 61]
09:10:00 > [         10011903103] [0 61]
09:10:29 > [         10011903122] [0 61]
09:11:00 > [         10011903159] [0 61]
09:11:28 > [         10011903227] [0 61]
09:12:01 > [         10011903296] [0 61]
09:12:28 > [         10011901955] [0 61]
09:13:00 > [         10012000388] [0 61]
09:13:29 > [         10012000295] [0 61]
09:13:51 > [         10011804468] [0 62]
09:14:00 > [         10012000141] [0 61]
09:14:28 > [         10012000328] [0 61]
09:15:00 > [         10012000814] [0 61]
09:15:06 > [         10011903319] [0 62]
09:15:28 > [         10011903049] [0 61]
09:16:21 > [         10011902949] [0 62]
09:16:36 > [         10011903263] [0 62]
09:16:51 > [         10011903263] [0 62]
09:17:00 > [         10012000916] [0 61]
09:17:07 > [         10011903446] [0 62]
09:17:21 > [         10011903446] [0 62]
09:17:36 > [         10012000398] [0 62]
09:17:51 > [         10012000419] [0 62]
09:18:07 > [         10012000250] [0 62]
09:18:21 > [         10012000104] [0 62]
09:18:28 > [         10011903246] [0 61]
09:18:36 > [         10012000407] [0 62]
09:20:31 > [         10011903600] [0 61]
09:20:59 > [         10011903684] [0 61]
09:21:20 > [         10011804445] [0 62]
09:21:29 > [         10011903679] [0 61]
09:21:36 > [         10011804447] [0 62]
09:21:51 > [         10011804446] [0 62]
09:22:00 > [         10011902950] [0 61]
09:22:29 > [         10011902652] [0 61]
09:26:31 > [         10012000251] [0 61]
09:26:44 > [         10012000392] [0 61]
09:27:15 > [         10011903447] [0 61]
09:27:29 > [         10012001040] [0 61]
09:39:14 > [         10012001145] [0 61]
09:46:21 > [         10011903263] [0 62]
09:46:37 > [         10011903263] [0 62]
09:46:51 > [         10012000407] [0 62]
09:47:02 > [         10011902940] [0 61]
09:47:06 > [         10012000419] [0 62]
09:47:16 > [         10012001218] [0 61]
09:47:29 > [         10011903008] [0 61]
09:47:59 > [         10011903038] [0 61]
09:48:16 > [         10012001210] [0 61]
09:48:29 > [         10011902977] [0 61]
09:48:59 > [         10011903079] [0 61]
09:49:29 > [         10011903103] [0 61]
09:49:59 > [         10011903122] [0 61]
09:50:29 > [         10011903159] [0 61]
09:50:59 > [         10011903227] [0 61]
09:51:29 > [         10011903296] [0 61]
09:51:59 > [         10011901955] [0 61]
09:52:29 > [         10012000388] [0 61]
09:52:59 > [         10012000295] [0 61]
09:53:29 > [         10012000141] [0 61]
09:54:00 > [         10012000328] [0 61]
09:54:59 > [         10011903049] [0 61]
09:57:45 > [         10011903246] [0 61]
09:58:29 > [         10011903551] [0 61]
09:58:59 > [         10011903427] [0 61]
09:59:29 > [         10011903424] [0 61]
09:59:58 > [         10011903600] [0 61]
10:00:32 > [         10011903684] [0 61]
10:00:58 > [         10011903679] [0 61]
10:01:29 > [         10011902950] [0 61]
10:01:59 > [         10011902652] [0 61]
10:03:20 > [         10012000398] [0 62]
10:05:44 > [         10012000251] [0 61]
10:06:46 > [         10011903447] [0 61]
10:09:35 > [         10011903478] [0 62]
10:09:50 > [         10011903477] [0 62]
10:15:59 > [         10012001379] [0 61]
10:17:29 > [         10012001425] [0 61]
10:19:14 > [         10012001457] [0 61]
10:27:28 > [         10012001210] [0 61]
10:32:45 > [         10012001481] [0 61]
10:47:21 > [         10012001645] [0 62]
10:58:43 > [         10012001457] [0 61]
10:59:53 > [         10012001104] [0 62]
11:00:20 > [         10012001117] [0 62]
11:00:50 > [         10012000648] [0 62]
11:01:35 > [         10012000664] [0 62]
11:02:05 > [         10012000625] [0 62]
11:02:51 > [         10012001550] [0 62]
11:06:50 > [         10012001738] [0 62]
11:08:21 > [         10012001260] [0 62]
11:08:50 > [         10012000882] [0 62]
11:09:21 > [         10012001516] [0 62]
11:09:50 > [         10012000907] [0 62]
11:10:21 > [         10012000945] [0 62]
11:10:50 > [         10012001163] [0 62]
11:11:20 > [         10012000692] [0 62]
11:11:50 > [         10012000702] [0 62]
11:12:44 > [         10012001506] [0 61]
11:13:50 > [         10012001178] [0 62]
11:14:20 > [         10012001198] [0 62]
11:14:51 > [         10012001615] [0 62]
11:15:20 > [         10012000637] [0 62]
11:18:50 > [         10012001908] [0 62]
11:29:59 > [         10012000734] [0 61]
11:30:29 > [         10012001053] [0 61]
11:35:35 > [         10011903476] [0 62]
11:35:50 > [         10012001970] [0 62]
11:39:20 > [         10012001104] [0 62]
11:39:36 > [         10012002064] [0 62]
11:39:51 > [         10012001117] [0 62]
11:40:20 > [         10012000648] [0 62]
11:41:05 > [         10012000664] [0 62]
11:41:35 > [         10012000625] [0 62]
11:42:05 > [         10012001550] [0 62]
11:47:51 > [         10012001260] [0 62]
11:48:20 > [         10012000882] [0 62]
11:48:51 > [         10012001516] [0 62]
11:49:20 > [         10012000907] [0 62]
11:49:51 > [         10012000945] [0 62]
11:50:21 > [         10012001163] [0 62]
11:50:51 > [         10012000692] [0 62]
11:51:20 > [         10012000702] [0 62]
11:51:50 > [         10012001178] [0 62]
11:52:50 > [         10012002121] [0 62]
11:53:50 > [         10012001198] [0 62]
11:54:20 > [         10012001615] [0 62]
11:54:50 > [         10012000637] [0 62]
11:58:20 > [         10012001908] [0 62]
12:08:35 > [         10012002171] [0 62]
12:08:50 > [         10012002170] [0 62]
12:09:29 > [         10012000734] [0 61]
12:09:59 > [         10012001053] [0 61]
12:14:20 > [         10012002206] [0 62]
12:18:50 > [         10012002064] [0 62]
12:32:21 > [         10012002121] [0 62]
12:34:50 > [         10012002295] [0 62]
12:35:20 > [         10012001762] [0 62]
12:35:50 > [         10012002270] [0 62]
12:36:20 > [         10012002258] [0 62]
12:48:05 > [         10012002171] [0 62]
12:57:35 > [         10012002416] [0 62]
13:14:20 > [         10012002295] [0 62]
13:14:50 > [         10012001762] [0 62]
13:15:20 > [         10012002270] [0 62]
13:15:50 > [         10012002258] [0 62]
13:37:05 > [         10012002416] [0 62]
13:37:20 > [         10012002565] [0 62]
13:37:50 > [         10012002629] [0 62]
13:38:05 > [         10012002629] [0 62]
13:38:50 > [         10012002630] [0 62]
13:45:05 > [         10012002639] [0 62]
13:45:20 > [         10012002664] [0 62]
14:09:50 > [         10012002754] [0 62]
14:16:35 > [         10012002565] [0 62]
14:18:20 > [         10012002630] [0 62]
14:29:05 > [         10012002785] [0 62]
14:29:20 > [         10012002700] [0 62]
14:31:50 > [         10012002639] [0 62]
15:00:35 > [         10012002973] [0 62]
15:16:19 > [         10012003091] [0 62]
